"month","date","State","Expected","Population","Observed","monthlyxs","sumxs","correctedpopulation","irxsuncorrected","irxscorrected","expcorr","xscorrMO","irxscorr"
201503,2015-03-01,"Arkansas",2786,2976988.75,2786,0,0,2976988.75,0,0,2786,0,0
201503,2015-03-01,"California",22674,38824898.5,22674,0,0,38824898.5,0,0,22674,-3.63797880709171e-12,-9.37022103764602e-15
201503,2015-03-01,"Colorado",3038,5428905.25,3038,0,0,5428905.25,0,0,3038,0,0
201503,2015-03-01,"Connecticut",2833,3590345,2833,0,0,3590345,0,0,2833,0,0
201503,2015-03-01,"Delaware",746,939831.5,746,0,0,939831.5,0,0,746,0,0
201503,2015-03-01,"District of Columbia",438,673661.25,438,0,0,673661.25,0,0,438,5.6843418860808e-14,8.43798257073685e-15
201503,2015-03-01,"Florida",16969,20127803.25,16969,0,0,20127803.25,0,0,16969,0,0
201503,2015-03-01,"Georgia",7081,10155315.75,7081,0,0,10155315.75,0,0,7081,9.09494701772928e-13,8.95584858376194e-15
201503,2015-03-01,"Hawaii",949,1421083,949,0,0,1421083,0,0,949,-1.13686837721616e-13,-8.00001391344602e-15
201503,2015-03-01,"Idaho",1108,1647433.25,1108,0,0,1647433.25,0,0,1108,0,0
201503,2015-03-01,"Illinois",9595,12865961.75,9595,0,0,12865961.75,0,0,9595,0,0
201503,2015-03-01,"Indiana",5652,6607586.25,5652,0,0,6607586.25,0,0,5652,0,0
201503,2015-03-01,"Iowa",2750,3119566.5,2750,0,0,3119566.5,0,0,2750,0,0
201503,2015-03-01,"Kansas",2352,2908503,2352,0,0,2908503,0,0,2352,0,0
201503,2015-03-01,"Kentucky",4086,4426092.5,4086,0,0,4426092.5,0,0,4086,0,0
201503,2015-03-01,"Louisiana",3849,4661733,3849,0,0,4661733,0,0,3849,0,0
201503,2015-03-01,"Maine",1316,1329627.75,1316,0,0,1329627.75,0,0,1316,0,0
201503,2015-03-01,"Maryland",4117,5981412,4117,0,0,5981412,0,0,4117,0,0
201503,2015-03-01,"Massachusetts",5361,6789329,5361,0,0,6789329,0,0,5361,0,0
201503,2015-03-01,"Michigan",8640,9933870.5,8640,0,0,9933870.5,0,0,8640,0,0
201503,2015-03-01,"Minnesota",3870,5476167.75,3870,0,0,5476167.75,0,0,3870,0,0
201503,2015-03-01,"Mississippi",2841,2990646.25,2841,0,0,2990646.25,0,0,2841,0,0
201503,2015-03-01,"Missouri",5485,6071340.75,5485,0,0,6071340.75,0,0,5485,0,0
201503,2015-03-01,"Montana",827,1029285.5,827,0,0,1029285.5,0,0,827,0,0
201503,2015-03-01,"Nebraska",1536,1889033,1536,0,0,1889033,0,0,1536,0,0
201503,2015-03-01,"Nevada",2061,2856132,2061,0,0,2856132,0,0,2061,0,0
201503,2015-03-01,"New Hampshire",1043,1336674.25,1043,0,0,1336674.25,0,0,1043,0,0
201503,2015-03-01,"New Jersey",6561,8869553.25,6561,0,0,8869553.25,0,0,6561,0,0
201503,2015-03-01,"New Mexico",1598,2090112.25,1598,0,0,2090112.25,0,0,1598,0,0
201503,2015-03-01,"New York",14067,19656348.5,14067,0,0,19656348.5,0,0,14067,0,0
201503,2015-03-01,"North Carolina",8094,10012237.25,8094,0,0,10012237.25,0,0,8094,0,0
201503,2015-03-01,"North Dakota",570,751336.75,570,0,0,751336.75,0,0,570,0,0
201503,2015-03-01,"Ohio",10319,11618379.5,10319,0,0,11618379.5,0,0,10319,0,0
201503,2015-03-01,"Oklahoma",3636,3902685.25,3636,0,0,3902685.25,0,0,3636,0,0
201503,2015-03-01,"Oregon",3091,4005268.25,3091,0,0,4005268.25,0,0,3091,0,0
201503,2015-03-01,"Pennsylvania",12275,12790476.5,12275,0,0,12790476.5,0,0,12275,0,0
201503,2015-03-01,"Rhode Island",936,1056792.25,936,0,0,1056792.25,0,0,936,0,0
201503,2015-03-01,"South Carolina",4274,4878719,4274,0,0,4878719,0,0,4274,0,0
201503,2015-03-01,"South Dakota",697,853414.75,697,0,0,853414.75,0,0,697,0,0
201503,2015-03-01,"Tennessee",5812,6582669.75,5812,0,0,6582669.75,0,0,5812,0,0
201503,2015-03-01,"Texas",16979,27342171.25,16979,0,0,27342171.25,0,0,16979,0,0
201503,2015-03-01,"Utah",1493,2972301.25,1493,0,0,2972301.25,0,0,1493,0,0
201503,2015-03-01,"Vermont",540,625780.75,540,0,0,625780.75,0,0,540,0,0
201503,2015-03-01,"Virginia",5791,8354334.75,5791,0,0,8354334.75,0,0,5791,0,0
201503,2015-03-01,"Washington",4864,7139848,4864,0,0,7139848,0,0,4864,0,0
201503,2015-03-01,"West Virginia",1990,1845141.25,1990,0,0,1845141.25,0,0,1990,0,0
201503,2015-03-01,"Wisconsin",4700,5760495,4700,0,0,5760495,0,0,4700,0,0
201503,2015-03-01,"Wyoming",440,585581.5,440,0,0,585581.5,0,0,440,0,0
201504,2015-04-01,"Alabama",4217,4852958.66666667,4217,0,0,4852958.66666667,0,0,4217,0,0
201504,2015-04-01,"Alaska",336,738204.166666667,336,0,0,738204.166666667,0,0,336,0,0
201504,2015-04-01,"Arizona",4542,6816153.83333333,4542,0,0,6816153.83333333,0,0,4542,0,0
201504,2015-04-01,"Arkansas",2522,2977903.16666667,2522,0,0,2977903.16666667,0,0,2522,0,0
201504,2015-04-01,"California",21351,38851364.3333333,21351,0,0,38851364.3333333,0,0,21351,0,0
201504,2015-04-01,"Colorado",3164,5437379.5,3164,0,0,5437379.5,0,0,3164,-4.54747350886464e-13,-8.36335501111269e-15
201504,2015-04-01,"Connecticut",2570,3589750.33333333,2570,0,0,3589750.33333333,0,0,2570,0,0
201504,2015-04-01,"Delaware",732,940576,732,0,0,940576,0,0,732,0,0
201504,2015-04-01,"District of Columbia",411,674778.833333333,411,0,0,674778.833333333,0,0,411,-5.6843418860808e-14,-8.42400740106322e-15
201504,2015-04-01,"Florida",15679,20158239.1666667,15679,0,0,20158239.1666667,0,0,15679,0,0
201504,2015-04-01,"Georgia",6528,10164661.5,6528,0,0,10164661.5,0,0,6528,0,0
201504,2015-04-01,"Hawaii",863,1421721.66666667,863,0,0,1421721.66666667,0,0,863,0,0
201504,2015-04-01,"Idaho",1080,1649120.5,1080,0,0,1649120.5,0,0,1080,0,0
201504,2015-04-01,"Illinois",8935,12863836.1666667,8935,0,0,12863836.1666667,0,0,8935,0,0
201504,2015-04-01,"Indiana",5360,6608871.5,5360,0,0,6608871.5,0,0,5360,0,0
